Date,Size,P/B RATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/29/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/16,"796,144,800",1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
